Daily_Period,TMA_Daily
01/01/2022,10
02/01/2022,10
03/01/2022,10
04/01/2022,10
05/01/2022,12.5
06/01/2022,10
07/01/2022,10
08/01/2022,10
09/01/2022,12.91666667
10/01/2022,12.5
11/01/2022,10.41666667
12/01/2022,12.5
13/01/2022,12.08333333
14/01/2022,14.58333333
15/01/2022,22.08333333
16/01/2022,12.91666667
17/01/2022,15.41666667
18/01/2022,10.83333333
19/01/2022,11.25
20/01/2022,12.08333333
21/01/2022,10
22/01/2022,10
23/01/2022,10
24/01/2022,10
25/01/2022,10
26/01/2022,11.66666667
27/01/2022,10
28/01/2022,10
29/01/2022,10
30/01/2022,10.41666667
31/01/2022,15.41666667
01/02/2022,24.16666667
02/02/2022,13.75
03/02/2022,10
04/02/2022,10
05/02/2022,10
06/02/2022,22.08333333
07/02/2022,20
08/02/2022,19.16666667
09/02/2022,13.33333333
10/02/2022,10
11/02/2022,10
12/02/2022,10
13/02/2022,10
14/02/2022,10
15/02/2022,10
16/02/2022,25.83333333
17/02/2022,33.33333333
18/02/2022,24.58333333
19/02/2022,16.25
20/02/2022,10
21/02/2022,11.25
22/02/2022,12.5
23/02/2022,14.58333333
24/02/2022,17.91666667
25/02/2022,10
26/02/2022,11.66666667
27/02/2022,10
28/02/2022,10
01/03/2022,10
02/03/2022,10
03/03/2022,10
04/03/2022,10
05/03/2022,17.70833333
06/03/2022,10
07/03/2022,10
08/03/2022,10
09/03/2022,10.83333333
10/03/2022,17.08333333
11/03/2022,12.91666667
12/03/2022,19.58333333
13/03/2022,12.5
14/03/2022,10
15/03/2022,10
16/03/2022,10
17/03/2022,10
18/03/2022,15.65217391
19/03/2022,12.91666667
20/03/2022,10
21/03/2022,10
22/03/2022,10
23/03/2022,10
24/03/2022,10
25/03/2022,10
26/03/2022,10
27/03/2022,10
28/03/2022,10
29/03/2022,10
30/03/2022,10
31/03/2022,10
01/04/2022,10
02/04/2022,10
03/04/2022,12.91666667
04/04/2022,11.25
05/04/2022,10
06/04/2022,10
07/04/2022,10
08/04/2022,10
09/04/2022,10
10/04/2022,10
11/04/2022,12.5
12/04/2022,10
13/04/2022,10
14/04/2022,14.58333333
15/04/2022,22.08333333
16/04/2022,19.16666667
17/04/2022,13.75
18/04/2022,34.58333333
19/04/2022,32.5
20/04/2022,22.08333333
21/04/2022,12.91666667
22/04/2022,10
23/04/2022,10
24/04/2022,10
25/04/2022,10
26/04/2022,10
27/04/2022,14.58333333
28/04/2022,16.25
29/04/2022,10
30/04/2022,10
01/05/2022,10.83333333
02/05/2022,14.58333333
03/05/2022,10
04/05/2022,29.16666667
