Daily_Period,TMA_Daily,
1/1/2023,43.75,
1/2/2023,36.66666667,
1/3/2023,32.91666667,
1/4/2023,32.17391304,
1/5/2023,30,
1/6/2023,27.5,
1/7/2023,20,
1/8/2023,21.66666667,
1/9/2023,20,
1/10/2023,20,
1/11/2023,13.75,
1/12/2023,10,
1/13/2023,10.83333333,
1/14/2023,10,
1/15/2023,10,
1/16/2023,15.41666667,
1/17/2023,20.41666667,
1/18/2023,21.25,
1/19/2023,13.75,
1/20/2023,10,
1/21/2023,10,
1/22/2023,10,
1/23/2023,10,
1/24/2023,11.25,
1/25/2023,15.41666667,
1/26/2023,13.33333333,
1/27/2023,10,
1/28/2023,25.83333333,
1/29/2023,13.33333333,
1/30/2023,10,
1/31/2023,10,
2/1/2023,10,
2/2/2023,10,
2/3/2023,10,
2/4/2023,10,
2/5/2023,10,
2/6/2023,10,
2/7/2023,10,
2/8/2023,10,
2/9/2023,10,
2/10/2023,10.41666667,
2/11/2023,12.91666667,
2/12/2023,49.56521739,
2/13/2023,35,
2/14/2023,32.5,
2/15/2023,32.5,
2/16/2023,30.83333333,
2/17/2023,30,
2/18/2023,29.58333333,
2/19/2023,34.16666667,
2/20/2023,29.58333333,
2/21/2023,23.75,
2/22/2023,27.5,
2/23/2023,37.91666667,
2/24/2023,55,
2/25/2023,49.16666667,
2/26/2023,53.04347826,
2/27/2023,67.5,
2/28/2023,50.41666667,
3/1/2023,45.41666667,
3/2/2023,48.69565217,
3/3/2023,40,
3/4/2023,40,
3/5/2023,40.83333333,
3/6/2023,35.41666667,
3/7/2023,30,
3/8/2023,30,
3/9/2023,27.08333333,
3/10/2023,24.16666667,
3/11/2023,20.83333333,
3/12/2023,18.33333333,
3/13/2023,20,
3/14/2023,21.25,
3/15/2023,20.83333333,
3/16/2023,20,
3/17/2023,29.58333333,
3/18/2023,32.91666667,
3/19/2023,34.16666667,
3/20/2023,34.58333333,
3/21/2023,32.5,
3/22/2023,33.33333333,
3/23/2023,27.08333333,
3/24/2023,20.41666667,
3/25/2023,20,
3/26/2023,29.58333333,
3/27/2023,22.91666667,
3/28/2023,20,
3/29/2023,22.5,
3/30/2023,20,
3/31/2023,20.41666667,
4/1/2023,20.83333333,
4/2/2023,14.16666667,
4/3/2023,10,
4/4/2023,10,
4/5/2023,10,
4/6/2023,10,
4/7/2023,10.41666667,
4/8/2023,14.16666667,
4/9/2023,17.08333333,
4/10/2023,14.58333333,
4/11/2023,10,
4/12/2023,10.41666667,
4/13/2023,10,
4/14/2023,14.58333333,
4/15/2023,11.25,
4/16/2023,10,
4/17/2023,10,
4/18/2023,10,
4/19/2023,15.41666667,
4/20/2023,17.5,
4/21/2023,13.33333333,
4/22/2023,12.91666667,
4/23/2023,16.66666667,
4/24/2023,26.08695652,
4/25/2023,27.91666667,
4/26/2023,22.5,
4/27/2023,22.5,
4/28/2023,26.25,
4/29/2023,27.08333333,
4/30/2023,26.66666667,
5/1/2023,35,
5/2/2023,28.33333333,
5/3/2023,39.13043478,
5/4/2023,39.58333333,
5/5/2023,35,
5/6/2023,43.75,
5/7/2023,35,
5/8/2023,33.75,
5/9/2023,27.5,
5/10/2023,20,
5/11/2023,20,
5/12/2023,17.5,
5/13/2023,24.58333333,
5/14/2023,20.83333333,
5/15/2023,20,
5/16/2023,20,
5/17/2023,20,
5/18/2023,16.25,
5/19/2023,11.66666667,
5/20/2023,20,
5/21/2023,19.16666667,
5/22/2023,15.41666667,
5/23/2023,10,
5/24/2023,10,
5/25/2023,10.41666667,
5/26/2023,12.91666667,
5/27/2023,12.08333333,
5/28/2023,12.08333333,
5/29/2023,11.25,
5/30/2023,10,
5/31/2023,10,
6/1/2023,10,
6/2/2023,10,
6/3/2023,10,
6/4/2023,20.41666667,
6/5/2023,22.91666667,
6/6/2023,19.58333333,
6/7/2023,20.41666667,
6/8/2023,15.41666667,
6/9/2023,10,
6/10/2023,10,
6/11/2023,10,
6/12/2023,10,
6/13/2023,11.66666667,
