Hourly_Period,TMA_Hourly
2/1/23 0:00,10
2/1/23 1:00,10
2/1/23 2:00,10
2/1/23 3:00,10
2/1/23 4:00,10
2/1/23 5:00,10
2/1/23 6:00,10
2/1/23 7:00,10
2/1/23 8:00,10
2/1/23 9:00,10
2/1/23 10:00,10
2/1/23 11:00,10
2/1/23 12:00,10
2/1/23 13:00,10
2/1/23 14:00,10
2/1/23 15:00,10
2/1/23 16:00,10
2/1/23 17:00,10
2/1/23 18:00,10
2/1/23 19:00,10
2/1/23 20:00,10
2/1/23 21:00,10
2/1/23 22:00,10
2/1/23 23:00,10
2/2/23 0:00,10
2/2/23 1:00,10
2/2/23 2:00,10
2/2/23 3:00,10
2/2/23 4:00,10
2/2/23 5:00,10
2/2/23 6:00,10
2/2/23 7:00,10
2/2/23 8:00,10
2/2/23 9:00,10
2/2/23 10:00,10
2/2/23 11:00,10
2/2/23 12:00,10
2/2/23 13:00,10
2/2/23 14:00,10
2/2/23 15:00,10
2/2/23 16:00,10
2/2/23 17:00,10
2/2/23 18:00,10
2/2/23 19:00,10
2/2/23 20:00,10
2/2/23 21:00,10
2/2/23 22:00,10
2/2/23 23:00,10
2/3/23 0:00,10
2/3/23 1:00,10
2/3/23 2:00,10
2/3/23 3:00,10
2/3/23 4:00,10
2/3/23 5:00,10
2/3/23 6:00,10
2/3/23 7:00,10
2/3/23 8:00,10
2/3/23 9:00,10
2/3/23 10:00,10
2/3/23 11:00,10
2/3/23 12:00,10
2/3/23 13:00,10
2/3/23 14:00,10
2/3/23 15:00,10
2/3/23 16:00,10
2/3/23 17:00,10
2/3/23 18:00,10
2/3/23 19:00,10
2/3/23 20:00,10
2/3/23 21:00,10
2/3/23 22:00,10
2/3/23 23:00,10
2/4/23 0:00,10
2/4/23 1:00,10
2/4/23 2:00,10
2/4/23 3:00,10
2/4/23 4:00,10
2/4/23 5:00,10
2/4/23 6:00,10
2/4/23 7:00,10
2/4/23 8:00,10
2/4/23 9:00,10
2/4/23 10:00,10
2/4/23 11:00,10
2/4/23 12:00,10
2/4/23 13:00,10
2/4/23 14:00,10
2/4/23 15:00,10
2/4/23 16:00,10
2/4/23 17:00,10
2/4/23 18:00,10
2/4/23 19:00,10
2/4/23 20:00,10
2/4/23 21:00,10
2/4/23 22:00,10
2/4/23 23:00,10
2/5/23 0:00,10
2/5/23 1:00,10
2/5/23 2:00,10
2/5/23 3:00,10
2/5/23 4:00,10
2/5/23 5:00,10
2/5/23 6:00,10
2/5/23 7:00,10
2/5/23 8:00,10
2/5/23 9:00,10
2/5/23 10:00,10
2/5/23 11:00,10
2/5/23 12:00,10
2/5/23 13:00,10
2/5/23 14:00,10
2/5/23 15:00,10
2/5/23 16:00,10
2/5/23 17:00,10
2/5/23 18:00,10
2/5/23 19:00,10
2/5/23 20:00,10
2/5/23 21:00,10
2/5/23 22:00,10
2/5/23 23:00,10
2/6/23 0:00,10
2/6/23 1:00,10
2/6/23 2:00,10
2/6/23 3:00,10
2/6/23 4:00,10
2/6/23 5:00,10
2/6/23 6:00,10
2/6/23 7:00,10
2/6/23 8:00,10
2/6/23 9:00,10
2/6/23 10:00,10
2/6/23 11:00,10
2/6/23 12:00,10
2/6/23 13:00,10
2/6/23 14:00,10
2/6/23 15:00,10
2/6/23 16:00,10
2/6/23 17:00,10
2/6/23 18:00,10
2/6/23 19:00,10
2/6/23 20:00,10
2/6/23 21:00,10
2/6/23 22:00,10
2/6/23 23:00,10
2/7/23 0:00,10
2/7/23 1:00,10
2/7/23 2:00,10
2/7/23 3:00,10
2/7/23 4:00,10
2/7/23 5:00,10
2/7/23 6:00,10
2/7/23 7:00,10
2/7/23 8:00,10
2/7/23 9:00,10
2/7/23 10:00,10
2/7/23 11:00,10
2/7/23 12:00,10
2/7/23 13:00,10
2/7/23 14:00,10
2/7/23 15:00,10
2/7/23 16:00,10
2/7/23 17:00,10
2/7/23 18:00,10
2/7/23 19:00,10
2/7/23 20:00,10
2/7/23 21:00,10
2/7/23 22:00,10
2/7/23 23:00,10
2/8/23 0:00,10
2/8/23 1:00,10
2/8/23 2:00,10
2/8/23 3:00,10
2/8/23 4:00,10
2/8/23 5:00,10
2/8/23 6:00,10
2/8/23 7:00,10
2/8/23 8:00,10
2/8/23 9:00,10
2/8/23 10:00,10
2/8/23 11:00,10
2/8/23 12:00,10
2/8/23 13:00,10
2/8/23 14:00,10
2/8/23 15:00,10
2/8/23 16:00,10
2/8/23 17:00,10
2/8/23 18:00,10
2/8/23 19:00,10
2/8/23 20:00,10
2/8/23 21:00,10
2/8/23 22:00,10
2/8/23 23:00,10
2/9/23 0:00,10
2/9/23 1:00,10
2/9/23 2:00,10
2/9/23 3:00,10
2/9/23 4:00,10
2/9/23 5:00,10
2/9/23 6:00,10
2/9/23 7:00,10
2/9/23 8:00,10
2/9/23 9:00,10
2/9/23 10:00,10
2/9/23 11:00,10
2/9/23 12:00,10
2/9/23 13:00,10
2/9/23 14:00,10
2/9/23 15:00,10
2/9/23 16:00,10
2/9/23 17:00,10
2/9/23 18:00,10
2/9/23 19:00,10
2/9/23 20:00,10
2/9/23 21:00,10
2/9/23 22:00,10
2/9/23 23:00,10
2/10/23 0:00,10
2/10/23 1:00,10
2/10/23 2:00,10
2/10/23 3:00,10
2/10/23 4:00,10
2/10/23 5:00,10
2/10/23 6:00,10
2/10/23 7:00,10
2/10/23 8:00,10
2/10/23 9:00,10
2/10/23 10:00,10
2/10/23 11:00,10
2/10/23 12:00,10
2/10/23 13:00,10
2/10/23 14:00,10
